rank,token,frequency,length,example_1,example_2,example_3
22,*c,1194,2,...*c|1|ccc...,...*c|1|ccc...,...*c|1|ccc...
23,ccc,1138,3,...C/|c2|ccc|(*)cc|2)...,...*c|1|ccc|(|C(=O)c2ccc...,...CC(|*)c1|ccc|(C(C)|(C)OC...
24,(C,1122,2,...*)C(|C)|(C|)|CCC...,...CC(|*)|(C|)|CC...,...CCC(|*)|(C|)|CC...
25,*)c,1081,3,...C(=O)CCCCCCCCC(|CC)(CCCCCC)C(=O)O|*)c|c1...,...O)c1ccc|(O|*)c|c|1...,...C(=O)c4ccc(|O|*)c|c4)c|c...
26,c(,1055,2,...C(=O)|c4cc|c(|*)c|c...,...c|5cc|c(|NC|(=O)Nc6ccc(...,...O)cc4C3=O)ccc|3n(|c(|=O)c2|c1)C=C3...
27,/,1038,1,...=|C|/|C(|*)...,...=|C|/|C(|*)...,...=|C|/|C1|CCN...
28,(-,1026,2,...OCCC|OC(=O)c1ccc|(-|c2ccc|(C...,...Nc|1ccc|(-|c2cc|c...,.../c|1ccc|(-|c2ccc|(...
29,F)(,981,3,...)|CC(|F)(|F)|F...,...(|F)C(|F)(|F)C(|F)(...,...F)|C(|F)(|F)|F...
30,=O),915,3,...O|C(|=O)|c2cc|c...,...C|(|=O)|C(|C(=...,...C(|*)|=O)|c4)c|c...
31,2,880,1,...C(=O)|OCC([|2|H])(F)C(|F)(F)C(...,...*)=O)c|c|2|)c|c...,...O|*)cc|2|C|)c...
32,c1ccc,797,5,...C|)|c1ccc|(|S(...,...(=|O)|c1ccc|(|C)c...,...*|N|c1ccc|(|C[...
33,1ccc,763,4,...*|Cc|1ccc|(|C(=O)O...,...C|F)c|1ccc|(*|)c...,...O)N|c|1ccc|(|C(...
34,F)(F)C(,747,7,...2|H])(F)C(|F)(F)C(|F)(F)C(|F)(F)C(...,...*)|(F)C(|F)(F)C(|F)(F)|F...,...C(C|l)C(|F)(F)C(|F)(F)C(|F)(F)C(...
35,3)c,723,3,...c4)c|c|3)c|c|2)c...,...(*)c|c|3)c|c|2)c...,...c4)c|c|3)c|c|2)c...
36,],714,1,...S|i|]|(|*)...,...S|i|]|(C)|(...,...S|i|]|(|*)...
37,3)cc,691,4,...c4)c|c|3)cc|2)c|c...,...*)c|c|3)cc|2)c|c...,...(C(|*)=O)cc|3)cc|2)c(OC)|c...
38,(=O),684,4,...C(=O)NCCCN|C|(=O)|CCCCCC|(=O)O*...,...CCCCCCCC|NC(=O)CCCCCCCCC|(=O)|O*...,...CCCCCCC|NC(=O)CCCCCCCCCCCCCCCC|(=O)|N|*...
39,(C),641,3,...(*)cc|2OC)c|(C)|c|1C...,...(|*)|(C)|O...,...i|]|(C)|(|C)c1cccc...
40,i,631,1,...O[|S|i|]|(...,...O[|S|i|]|(C)...,...([|S|i|]|(...
41,)c,630,2,...1ccc|(*|)c|c|1...,...(|*|)c|c|1OC...,...(O|*|)c|(|N(C)...
42,/C,623,2,...*|/C|=|C...,...*|/C|=|C...,...*|/C|=|C...
43,c3ccc,606,5,...(|O|c3ccc|(|C(...,...CC=C|(|c3ccc|(C)c(Cl)c3)|CCCCCC(...,...C|(=O)|c3ccc|(|C(...
44,OCC,588,3,...(C|#N)|OCC...,...)|C(=O)|OCC|OCC|OC(=O)...,...1|CCOCC|OCC|OCC|OCC...
45,2),561,2,...ccc|(*)cc|2)|C=C1...,...)|c|2)|c|1...,...C(=O)Oc2ccc(OC(=O)CCCCCCCCC(|*)=O)cc|2)|C1=O...
46,2)cc,533,4,...*|)n|2)cc|1COC...,...*)c(C)|c|2)cc|1C|#N...,...[O-|])cc|2)cc|(|C...
47,F)C(,524,4,...*)|(|F)C(|F)(|F)C(...,...CCC(|F)(|F)C(|F)(F)C(|F)(F)C(...,...CCCCC(|F)(|F)C(|F)(|F)C(...
48,cc,504,2,...c5ccc(O*)cc5)cc4)|C=C3)|cc|2)c|c...,...C)|c1|cc|(|OC)...,...*c|1|cc|(|OCCCCCCCCCCCCCCCCC...
49,F),480,2,...CC(|F)(|F)|F...,...NC(C)|(|F)|F...,...F)C(|F)(|F)|F...
50,O[,470,2,...*|O[|S|i...,...CC(|*)|O[|S|i...,...*|O[|S|i...
51,(O,462,2,...C(=|O)c1ccc|(O|*)c|c...,...CCCCC|NC(=O)c1ccc|(O|*|)c...,...c2cc|c|(O|*)c(C)|c...
52,c2cc,459,4,...1ccc|(-|c2cc|c|(...,...C(|=O)|c2cc|c|(O...,...=O)|NC(=O)|c2cc|c|(...
53,3ccc,454,4,...C|/c|3ccc|(|O...,...C(|=O)NCc|3ccc|(O|*)c...,...C(=O)N|c|3ccc|(-|c...
54,(=,439,2,...O|C|(=|O)CNC(=O)NCCCC(|C)C...,...O|CCNCC|(=|O)|c1ccc...,...*|CCCCCCCCCCCCCCCCCCCC|(=|O)|O*...
55,c1,439,2,...O|*)|c1...,...O)Oc1ccc|(*)c(CCCCSC)|c1...,...CC)(CCCCCC)C(=O)O|*)c|c1...
56,CCCCCC,426,6,...C|(=O)|CCCCCC|(=O)O*...,...*|CCCCCC|O|CC...,...*|CCCCCC|(|C...
57,C(=O)N,407,6,...Oc1ccc|(|C(=O)N|c2ccc|(...,...C(=O)c1ccc|(|C(=O)N|*|)c...,...C(=O)c2ccc|(|C(=O)N|c|3ccc...
58,S(,386,2,...Oc1ccc|(|S(|=O)c2ccc|(*)cc...,...c1ccc|(|S(|=|O)(...,...C(=O)c1ccc|(|S(|*)(C)C)c|c...
59,c3cc,381,4,...(|O|c3cc|c|(/C...,...C2|(|c3cc|c|(...,...C(=|O)|c3cc|c|(...
60,*)=O)c,374,6,...(|C(|*)=O)c|c|1OC...,...C)c2ccc|(C(|*)=O)c|c|2...,...C|(|*)=O)c|c1...
61,CCCC,368,4,...*|CCCC|1|C...,...*|CCCC|NC|(=O)CC*...,...*|CCCC|Oc1s|c...
62,([,362,2,...1|ccc|([|S|i...,...CC(|*)|([|2|H])C(=...,...(Oc2cc|c|([|N+]|(=O)[O-...
63,C(=O)c2ccc,354,10,...ccc|(|C(=O)c2ccc|(*|)cc...,...(|O|C(=O)c2ccc|(|O...,...(|O|C(=O)c2ccc|(|O...
64,(/C,352,3,...1=|C|(/C|=|C/...,...O|c2ccc|(/C|=|C...,...(|C)cc|(/C|=|C...
65,=O,350,2,...)|CC|=O...,...C(|*)|=O...,...(|S(|=O|)(|=O)...
66,N(,348,2,...*|CCCCCCCCCCCC|N(|C|)...,...*|CCCC|N(|*|)...,...*|CCCCC|N(|*|)...
67,F,338,1,...F)(F)C(|F)(F)|F...,...F)(F)C(|F)(F)|F...,...F)(|F)|F...
68,CCC,331,3,...O)OCCCC|O|CCC|NCC|(...,...(C|)|CCC...,...*|CCC|O|C(=...
69,i],330,2,...C[|S|i]|2*|)cc...,...O[|S|i]|(|C)...,...[|S|i]|(C)|(C)...
70,c1),326,3,...c|2)c|c1)|CCS*...,...c|2)c|c1)|c1ccc|([...,...ccc2|c(|c1)|C(=O)|N(...
71,4cc,319,3,...N|/c|4cc|c|(*)c...,...CCCCCCO|c|4cc|c|(Oc5cc...,...C(=O)|c|4cc|c(|*)c...
72,=O)c,315,4,...3)|C2|=O)c|c|1...,...S(|*)(=O)|=O)c|c|2)c...,...(|N3C(|=O)c|4ccc|(...
73,c1cccc,314,6,...OCCCCC|O|c1cccc|c|1)...,...1|-|c1cccc|c|1...,...l)C(|C|c1cccc|c|1)...
74,3),312,2,...c3ccc(CC(|*)=O)cc|3)|C2|=O)c...,...)c|c|3)|CC(CC)(CCCCCC)|C2)cc1...,...c4)c|c|3)|c|2)c...
75,*)C(=O),294,7,...*|CC(|*)C(=O)|OCC(C)|(F)C(=O)...,...*|CC(|*)C(=O)|OCCCNCCCCC...,...*|CC(|*)C(=O)|NC(C)|(...
76,OC,285,2,...C(|*)=O)cc1|OC...,...*)NC(=|O)|OC...,...)|C(=O)|OC|O|c1ccc...
77,4)c,272,3,...*)c|c|4)c|c|3)c...,...*)|=O)cc|4)c|c|3)c...,...6)cc|5)cc|4)c|3)c(Cl)c|2C)cc...
78,*)cc,269,4,...c|(|*)cc|1|C...,...(|O|*)cc|2|C...,...(|O|*)cc|2)c|c...
79,C(=O)O,267,6,...1ccc|(|C(=O)O|CCCCC|O...,...CCCCC|O|C(=O)O|*...,...*|N|C(=O)O|CC1|=...
80,#,264,1,...(C(C)|(C)OC|#|N)c|c...,...*|C|#|CC|O...,...*|CCCCCCCC|#|C|CCCCCCCCCCCCCCC...
81,=O)cc,260,5,...C(|*)|=O)cc|4)c|c...,...c5cc4|c3|=O)cc|2C(|C)...,...c5cc4|c3|=O)cc|2|)c(C)...
82,)(,254,2,...1C(|F|)(|F)|F...,...S(|=O|)(|=O)|NC(=O)...,...(|=O|)(|=|O)[...
83,(=O)O,252,5,...CC(|O)CNC|(=O)O|*...,...O|C(=O)OCCCC|(=O)O|*...,...N|C|(=O)O|*)c|c...
84,(*)c,247,4,...C(=O)O|CCCCCCCCCCCc2ccc|(*)c|c|2)c...,...C(=O)Oc2cc|c|(*)c|c|2)c...,...4cc|c|(*)c|c4)c|c...
85,n,247,1,...*)(C)C|#N)|n|1...,...c2ccc|(-|n|3|cc4ccc(O...,...c2ccc|(-|n|3|c...
86,CCCCC,246,5,...(|C(=O)O|CCCCC|O|C(=O)OCCCCCCC(=O)C(...,...C(=|O)|CCCCC|O|C(=O)O...,...*|CCCCC|NC(=O)c1ccc|(O...
87,[,241,1,...*|C|[|S|i...,...O)|OCCC|[|N|+]...,...OC(=O)|CC|[|S|i...
88,=O)(,240,4,...(|S(|=O)(|=|O)...,...(|S(|=O)(|=|O)...,...*)C(=O)c1ccc|(S(|=O)(|=O)C(|F)(...
89,c4)c,239,4,...O|*)c|c4)c|c|3)cc...,...c|(*)c|c4)c|c|3)c...,...*)|=O)|c4)c|c|3C(...
90,Cc,236,2,...*|Cc|1ccc|(...,...*|Cc|1cccc|(...,...O|C(=O)|Cc|1ccc|(...
91,c5cc,233,4,...(|C(=O)|c5cc|c(*)c|c...,...c4cc|c(O|c5cc|c(|C(=O)N...,...3|cc4ccc(O|c5cc|c6c(|c...
92,5)c,231,3,...c(*)c|c|5)c|c4)c|c...,...*)cc6)c|c|5)c|c|4)c...,...c(*)c|c|5)c|c4)c|c...
93,O)c,223,3,...C(=O)NN|C(=|O)c|1ccc|(*...,...O|C(=|O)c|1ccc|(...,...N3C(|=|O)c|4ccc|(O...
94,CCN,221,3,...*|CCN|(|C...,.../|C1|CCN|(|*...,...*|CCN|(|C...
95,=O)O,218,4,...=O)OC(=O)CCCCNC|(|=O)O|*...,...N|C(|=O)O|CCCCCCC(|*)=O)c...,...(|NC(|=O)O|*)c|c...
96,(*,207,2,...F)c|1ccc|(*|)c|c...,...(|C(=O)c2ccc|(*|)cc|2)c...,...(|C)c|(*|)|c...
97,)cc,207,3,...C(=O)c2ccc|(*|)cc|2)c|c...,...i]|2*|)cc|1...,...(|*|)cc|2)c|c...
98,*)c1,206,4,...*|CC(|*)c1|ccc|(C(C)...,...*|CC(|*)c1|ccc|(...,...*|CC(|*)c1|ccc|(C(=O)...
99,(C(,200,3,...(|C)c2ccc|(C(|*)=O)c|c...,...C(|*)|(C(|F)|(...,...c3cc|c|(C(|*)=O)cc|3)cc...
100,3cc,199,3,...O)|c|3cc|c|(...,...(=O)N|c|3cc|c|(...,...NC(=O)CCCCSCCCCCCC(=O)N|c|3cc|c|(...
